,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
CPV,1.0,7.438338527745844,0.0,0.0,0.0,-4.824558165895734e-06,0.0,1.000000000000442,0.0,0.0,0.0,55.13412347080832,0
CRC,0.0,10.257432155546958,0.0,0.0,0.0,-4.824558165895714e-06,0.0,0.07481083364784401,0.0,0.0,0.0,52.093926050786344,0
CRO,13.0,46.61100524983713,0.0,0.8937582865345941,0.0,0.35205039252814063,0.0,9.295080822226724,0.0,0.0,4.2399410518893434,74.2577675129645,0
CRT,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
CUB,14.0,56.191331995653,0.0,0.07213842918808715,0.0,1.4254744575630687,0.0,10.65625096363841,4.520468450325156,0.0,0.2145661404720445,53.70881448177508,0
CYP,2.0,22.273032347318615,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.3442935223659891,61.288197031176466,0
CZE,11.000000000000002,99.04165564590501,0.0,0.0,0.0,-4.824558165895734e-06,0.0,2.000179659084946,8.145045012762866,0.0,4.18788311734175,55.381502195554866,0
DEN,14.999999999999998,66.52143089511996,0.0,0.0,0.0,3.4385380606318368,-3.132452806891797e-20,7.268324508506142,13.143865300572877,0.0,5.122764110358691,53.519997593204735,0
DJI,0.0,7.29744996923634,0.0,0.0,0.0,-4.824558165895698e-06,0.0,0.0,0.0,0.0,0.0,73.8026453373926,0
DMA,2.9999999999999996,5.525562084837247,0.0,0.0,0.0,-4.824558165895734e-06,0.0,2.999985207229044,0.0,0.0,0.0,61.8283165171823,0
DOM,5.0,30.618551498856892,0.0,0.0,0.497976516030743,0.10158497956074801,0.0,4.53818970440311,0.0,0.0,0.0,60.020648249956125,0
ECU,9.0,35.99773486789406,0.0,0.0,0.0,-4.824558165895705e-06,0.0,9.766189449402379,0.0,0.0,2.964690150397495,40.70355090702784,0
EGY,6.0,97.98129598542344,0.0,0.0,0.0,-0.36924131404194854,0.29878165452894034,5.236607809319735,0.0,0.0,0.0,60.11132114876619,0
EOR,1.0,0,0.0,0.0,0,-4.824558165895707e-06,0.0,0,0.0,0,0.0,0,0
ERI,0.0,9.701430491377176,0.0,0.0,0.0,-4.824558165895721e-06,0.0,0.0,0.0,0.0,0.0,83.54534821639275,0
ESA,0.0,7.489816763008415,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
ESP,32.0,172.07328810275393,0.0,1.0859905009096558,0.6247081528784711,0.5563809738716397,-2.060559949983266,14.104054575679045,9.675717045578924,0.4991428615049008,8.610216791596365,53.45997071144629,0
EST,4.440892098500626e-16,24.034380882240196,0.0,0.0,0.0,-4.824558165895688e-06,0.0,2.8964298800454906,0.0,0.0,0.048124790353771894,62.26874182051389,0
ETH,9.0,13.420357785437673,0.0,0.0,0.0,-4.8245581658957044e-06,0.0,8.803480507559282,0.0,0.0,0.0,39.82042717787174,0
EUN,220.0,,0.0,7.500001249999375,0.0,0,12.000001999999,203.00000000000003,0.0,0.0,3.00000049999975,62.30769230769232,0
FIJ,1.9999999999999996,13.028589038869761,0.0,0.0,0.0,-4.824558165895705e-06,0.0,0.0,3.1929267998550745,0.0,0.0,56.18878337432979,0
FIN,0.0,41.75061470982551,0.0,0.0,0.0,0.1495843343213495,0.0,-0.022906722885832485,0.0,0.0,-0.40804385096438184,43.073659412056756,0
FRA,116.0,248.46433499058796,0.0,12.613032808096339,2.0000008616234126,1.4897176954408518,2.229518528310469,51.72026446180878,36.3993134088427,5.000002756765774,13.696894331826533,58.788594826313606,0
FRG,71.0,194.00000567789496,0.0,0.0,0.0,-4.82455816589571e-06,5.220678494169808,52.39595691647334,0.0,0.0,31.646688977269804,62.16196384425286,0
FSM,0.0,4.142659905423216,0.0,0.0,0.0,-4.824558165895721e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
GAB,0.0,5.100327902949182,0.0,0.0,0.0,0.25467158574923554,0.0,0.0,0.0,0.0,0.0,71.1964836605052,0
GAM,0.0,8.040831224585254,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
GBR,111.0,193.5309261787161,0.0,5.893917565076899,2.8610763109151996e-68,2.7512609382363524,12.05130380683136,52.60626926851032,43.492990920776535,1.498493628115921,20.97400384823704,54.028536199571256,0
